Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH A2_1_HP_IM3_0_Core[1,5,6,1]_[35806,12931.5]_component_data.tif - resolution #1	f1d22f0a-8666-421e-b9ae-dc8d5c8c6d67	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	3.53	2.966	19	18.5507	0.6938	7.1547	4.3845	0.8191	0.2317	18.5351	0.3577	1.2444	0	1.2444	9.8758	790.068	2.0653	14.7101	5.4482	9.2619	3.3397	267.172	1.724	8.3376	0.7259	7.6118	1.182	94.5606	1.4431	5.4556	0	5.4556	5.9733	477.8676	3.0861	11.4817	0	11.4817	0.3337	26.6985	0.867	4.1064	0	4.1064	30.0416	2403.3269	5.7343	38.5776	12.6874	25.8902	44	26.1906	0.8061	10.086	6.9124	0.7167	0.2029	0.408	2.2651	0	7.2609	3.2726	14.7101	1.5123	4.1543	2.311	9.3367	0.5211	3.9849	3.8431	13.5868	0	3.4883	3.8456	14.2169	0	0.3049	0.9243	5.3692	0	25.8762	6.9948	41.4751	11.2842	0.1796	0.445	2.2651	0	5.1478	2.4334	12.8395	1.5123	4.8127	2.5149	9.3367	0.5211	6.2498	3.6813	13.5868	0	1.4801	3.173	14.2169	0	0.2815	0.9718	5.3692	0	22.5102	6.0622	41.4751	11.2842	0.4417
NSB__NUH A2_1_HP_IM3_0_Core[1,5,6,1]_[35806,12931.5]_component_data.tif - resolution #1	111071d9-3f7a-4c6e-8527-b9407086d9ef	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	20.67	5.011	42.25	30.6616	0.5647	10.0787	6.8268	0.746	0.2215	37.4299	0.4808	2.3461	0	2.3461	7.8381	1324.6328	1.8462	15.1662	4.4853	10.681	4.2948	725.814	1.901	10.7859	1.388	9.3979	2.903	490.6001	2.9151	11.8653	0	11.8653	4.338	733.1196	4.549	20.2024	0	20.2024	1.8181	307.2552	3.117	13.8896	0	13.8896	34.3074	5797.9468	6.8922	54.7066	19.1947	35.512	88.5	37.2955	0.7995	12.6163	10.2489	0.4802	0.3698	0.7239	3.6923	0	6.0781	2.3131	15.1662	1.8399	4.7716	1.9017	10.7859	0.5321	4.9664	3.4865	13.9586	0	2.1981	3.8963	20.2024	0	0.9263	2.3787	13.8896	0	28.4122	9.0317	54.7066	10.9907	0.5039	0.868	3.6923	0	4.4876	1.3324	7.8336	1.8399	5.2026	1.8014	10.2886	0.5321	6.8311	2.8567	13.9586	0.0034	0.2642	1.5373	15.8195	0	0.1203	0.8047	7.2829	0	23.0844	7.2574	45.6678	10.9907	0.4674
NSB__NUH A2_1_HP_IM3_0_Core[1,5,6,1]_[35806,12931.5]_component_data.tif - resolution #1	d50c80d0-2faf-4703-8093-98c7569d0e3c	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	68.37	1.767	15.5	16.7179	0.6969	6.8606	3.4447	0.8473	0.5881	37.0497	0.8676	3.4155	0	3.4155	6.4688	407.5347	0.8912	9.2378	5.1319	4.106	3.3998	214.1881	1.8912	7.9327	0.3607	7.572	1.1581	72.9598	1.9354	7.0015	0	7.0015	2.2072	139.0558	2.7581	10.1195	0	10.1195	17.5092	1103.0811	10.0857	37.9361	0	37.9361	49.4606	3116.0166	7.9393	60.9214	32.0225	28.899	31	23.8384	0.6855	9.9402	4.1662	0.8989	0.6741	1.0528	4.1342	0	5.731	1.261	9.2378	2.7149	4.8373	2.4178	9.5721	0.3607	2.5807	3.2328	12.0162	0	1.1176	2.2348	10.1195	0	12.023	10.5537	37.9361	0	43.5398	10.6997	65.1344	19.6792	0.7601	1.2111	4.1342	0	4.9932	1.1425	8.0202	2.7149	6.2747	2.0025	9.5721	0.518	4.0034	3.6348	12.0162	0	0.028	0.222	1.7623	0	6.5369	7.853	27.8702	0	37.619	9.8253	65.1344	19.6792	0.4977
NSB__NUH A2_1_HP_IM3_0_Core[1,5,6,1]_[35806,12931.5]_component_data.tif - resolution #1	e69266ec-a0bb-41b3-a588-b7af635e7398	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	76.67	3.075	20.75	18.2189	0.7856	6.4403	4.9931	0.6239	1.4406	126.7766	1.223	5.782	0	5.782	8.7281	768.0764	1.0411	10.7732	5.8496	4.9236	4.297	378.1386	2.3201	9.7236	0.9306	8.793	2.0914	184.0472	2.7788	9.9807	0	9.9807	1.5305	134.6846	2.2285	8.0509	0	8.0509	7.9973	703.7599	6.3546	19.5724	0	19.5724	41.3327	3637.2781	6.9237	56.3356	25.1823	31.1533	43.25	26.0181	0.8029	9.5673	6.9707	0.6565	1.1478	1.311	5.782	0	6.8478	2.3821	10.7732	2.0927	5.2595	2.6624	13.4832	0.9306	4.6612	4.0263	12.5517	0	0.9883	1.9766	8.0509	0	4.8678	6.2584	19.5724	0	35.7993	8.4205	56.3356	17.1343	0.8582	1.3373	5.3262	0	4.9887	1.8016	8.5328	2.0927	6.2111	2.6481	13.4832	1.3862	7.2021	3.4139	12.5517	0	0.4522	1.523	7.1389	0	1.7735	4.3517	18.1154	0	30.3281	5.7901	41.6825	17.1343	0.4854
NSB__NUH A2_1_HP_IM3_0_Core[1,5,6,1]_[35806,12931.5]_component_data.tif - resolution #1	0c3fdb7b-2d85-4f1f-8bbd-d52671f62b46	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	129.48	4.063	39.25	29.8995	0.5517	9.0319	7.7317	0.3603	0.3674	57.3081	0.8058	3.5466	0	3.5466	7.6457	1192.7244	1.6197	12.0601	4.8381	7.222	7.9547	1240.9374	1.7316	11.9922	4.7423	7.2499	4.7232	736.8196	2.438	10.331	0.0074	10.3236	0.0164	2.5628	0.1131	1.129	0	1.129	5.5605	867.442	5.6459	18.8576	0	18.8576	33.5357	5231.5732	8.8294	55.2522	14.416	40.8362	85.75	36.8356	0.7942	12.0844	9.5	0.4498	0.6471	1.0185	4.4117	0	5.6863	2.2951	12.0601	0.8389	7.8579	1.7955	11.9922	2.0382	5.6571	2.5127	12.7139	0.0074	0.0075	0.0766	1.129	0	3.1629	5.0268	19.5328	0	29.2239	8.7747	55.2522	13.1747	0.8805	1.1162	4.4117	0	4.0517	1.2621	6.7057	0.8389	7.7772	1.8479	11.4156	2.0382	6.4361	2.3053	12.7139	0.9996	0	0	0	0	1.1628	3.3248	19.5328	0	25.6269	6.9287	53.3533	13.1747	0.4492
NSB__NUH A2_1_HP_IM3_0_Core[1,5,6,1]_[35806,12931.5]_component_data.tif - resolution #1	f49796e0-ca34-4b6d-a110-bad47bb9e944	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	229.94	3.506	25.5	19.4802	0.8444	7.0713	5.1121	0.6629	0.1699	18.011	0.399	1.7552	0	1.7552	10.0769	1068.1512	1.3985	12.9338	6.4893	6.4445	5.0193	532.0418	1.8933	10.153	1.1646	8.9884	2.4592	260.6741	2.4235	8.373	0	8.373	10.709	1135.1492	6.7602	26.1385	0	26.1385	1.2405	131.4921	1.8775	8.4527	0	8.4527	37.5305	3978.2307	5.4528	47.2291	22.344	24.885	56.75	27.9111	0.9154	9.7695	7.9168	0.5016	0.6024	0.7809	3.6056	0	7.528	3.2534	12.9338	1.711	4.9801	2.0656	10.57	1.1646	3.8332	2.7543	11.8515	0	5.9757	7.04	27.0875	0	0.889	1.6903	8.4527	0	30.4839	8.9191	47.2291	13.7531	0.9781	0.8365	3.6056	0	5.3134	2.7428	11.6841	1.711	4.946	2.2116	10.57	1.8021	5.0271	2.4585	11.8515	0	1.8632	4.0796	27.0875	0	0.5836	1.4486	7.1857	0	24.3615	6.492	45.8166	13.7531	0.4508
NSB__NUH A2_1_HP_IM3_0_Core[1,5,6,1]_[35806,12931.5]_component_data.tif - resolution #1	94788c86-1827-40ae-8406-b758da17f8d5	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	238.44	3.689	29.75	21.2125	0.8308	7.108	5.9535	0.5681	1.3973	169.0699	1.2383	6.1758	0	6.1758	15.1341	1831.2211	2.7079	21.7299	8.919	12.8109	4.6234	559.4332	1.2942	9.7978	2.861	6.9368	5.6073	678.488	1.3981	10.6495	2.3682	8.2814	0.0008	0.0908	0.0069	0.0737	0	0.0737	2.6865	325.0606	3.7071	11.5121	0	11.5121	21.2698	2573.6509	3.0393	32.5034	15.5252	16.9782	51.25	27.4396	0.8554	10.1322	7.7576	0.5499	1.2467	1.1316	6.1758	0	12.1945	4.393	21.7299	2.3398	4.9651	1.6195	9.8872	2.7657	5.9998	1.7929	11.4599	0	0.129	1.0223	11.5739	0	2.2124	3.2993	11.5121	0	21.6351	3.8869	39.6569	15.5252	1.0465	0.9416	3.1038	0	8.286	2.8987	13.7785	2.3398	5.4193	1.8842	9.8872	2.7657	6.5216	2.1091	11.4599	0	0.2995	1.5488	11.5739	0	1.5822	2.5483	8.8237	0	22.1209	4.7629	39.6569	17.0096	0.5804
NSB__NUH A2_1_HP_IM3_0_Core[1,5,6,1]_[35806,12931.5]_component_data.tif - resolution #1	903e8488-5e5e-445c-8824-12b440da7607	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	275.86	2.896	26.75	18.6746	0.9639	6.3596	5.1126	0.5545	3.9538	430.9688	1.434	8.3558	1.9017	6.4541	8.266	900.9948	1.9018	13.2022	4.6673	8.5349	1.4922	162.6467	0.5551	3.6319	0.4718	3.1601	2.3568	256.895	0.6036	4.2899	1.2644	3.0254	0.4727	51.5225	0.6058	2.9455	0	2.9455	0.0727	7.9234	0.2299	1.7139	0	1.7139	13.1256	1430.689	1.6884	17.9258	9.1675	8.7583	50.75	27.1389	0.8659	9.5803	6.4492	0.7425	3.2425	1.451	8.3558	1.1663	5.6645	3.1742	13.2022	1.5227	1.8913	0.6946	3.6319	0.4718	2.4255	0.8285	6.7728	1.074	0.3155	0.5247	2.9455	0	0.1169	0.4206	3.7302	0	13.6231	2.0606	20.021	8.2736	2.4431	0.9811	7.1151	1.1663	2.7413	1.0622	5.941	1.5227	2.3397	0.5473	3.5634	1.2198	2.5026	1.0221	6.7728	1.074	0.1389	0.34	1.5258	0	0.1666	0.5599	3.7302	0	14.1821	2.2942	20.021	8.2736	0.5027
NSB__NUH A2_1_HP_IM3_0_Core[1,5,6,1]_[35806,12931.5]_component_data.tif - resolution #1	dbcd933a-abb7-4ead-aebf-c9ddaa6f5b58	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	288.07	2.525	14	16.8885	0.6168	6.026	4.2262	0.5987	1.6034	101.0121	1.4845	5.1554	0	5.1554	5.2768	332.4361	0.6687	7.1938	3.5412	3.6527	8.2456	519.4726	1.4145	10.7015	4.5335	6.168	6.0122	378.7701	2.6594	11.8561	0.749	11.1071	0.011	0.692	0.0616	0.3872	0	0.3872	2.9064	183.101	3.8898	12.6974	0	12.6974	35.9038	2261.9399	8.3828	54.3297	22.3993	31.9304	40.5	25.4851	0.7836	9.4208	6.2739	0.7042	1.4517	1.3674	5.1554	0	4.1642	1.1925	7.1938	1.5963	7.3906	2.2864	11.5045	2.5359	5.3355	3.5011	12.5019	0	0.2995	0.9225	5.672	0	3.8812	4.5469	13.2325	0	33.7048	10.0076	58.586	12.3895	1.3616	1.2917	4.5036	0	3.5029	0.9095	5.8838	1.5963	6.8824	2.5462	11.5045	2.5359	4.9334	3.8727	12.5019	0	0.471	1.1313	5.672	0	4.4606	4.8203	13.2325	0	32.3979	10.6829	58.586	12.3895	0.3609
NSB__NUH A2_1_HP_IM3_0_Core[1,5,6,1]_[35806,12931.5]_component_data.tif - resolution #1	410adcef-65f6-488e-b074-979f12954673	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	312.8	4.559	35.5	27.2807	0.5994	9.9324	5.7576	0.8323	1.0814	158.9709	0.9655	3.26	0	3.26	7.9589	1169.9519	1.8758	13.8106	4.0904	9.7202	4.3361	637.4139	2.8744	10.994	1.0296	9.9644	1.1729	172.4148	1.9507	7.2565	0	7.2565	3.7476	550.902	3.7773	13.372	0	13.372	15.6424	2299.4397	7.5779	28.7695	0	28.7695	39.1045	5748.3589	6.7244	52.1859	22.0285	30.1573	75	33.9064	0.8198	11.8809	9	0.6117	0.9387	0.995	3.7356	0	6.1936	2.4272	13.8106	2.0025	6.1184	3.0053	12.1598	1.0296	3.248	3.2036	10.2422	0	2.0183	3.3243	13.372	0	9.3693	9.0103	28.7695	0	33.2045	9.0436	52.1859	16.1469	0.8068	1.0066	3.7356	0	4.5616	1.5944	8.5519	2.0025	7.7661	2.0281	12.1598	2.09	5.1665	2.93	10.2422	0	0.4195	1.6712	11.2666	0	3.5696	5.7614	20.0659	0	27.7497	7.3325	51.4336	16.1469	0.469
