Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH A2_1_HP_IM3_0_Core[1,4,14,1]_[50181,10878]_component_data.tif - resolution #1	8c43a03a-76b6-4969-b9d1-46fbe6a956e7	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	42.51	3.6	31.25	24.3622	0.6617	9.3236	5.4104	0.8297	1.4334	183.4794	0.4765	3.0949	0.2945	2.8003	8.7266	1117.0005	2.0523	13.9044	4.7511	9.1532	1.7923	229.4098	0.9721	6.1008	0.6435	5.4573	1.179	150.9167	0.6588	3.2752	0.0021	3.273	0.1287	16.4683	0.2926	1.6235	0	1.6235	0.6013	76.9681	0.7373	2.7176	0	2.7176	11.9437	1528.7981	1.7766	16.6951	6.6106	10.0845	72.75	33.6566	0.8071	12.3301	8.5	0.7108	1.5231	0.7662	4.7085	0	5.4886	3.3409	13.9044	0.8552	2.6397	2.1479	10.4174	0.6435	1.6022	1.3336	7.964	0.0001	0.1218	0.2948	1.6392	0	0.5761	0.9863	7.7902	0	12.3546	2.6702	26.5853	6.6106	1.5923	0.9255	4.7085	0	2.9919	1.4741	8.7489	0.8552	3.2931	2.5454	10.4174	0.6926	1.9285	1.6056	7.964	0.0001	0.1166	0.2972	1.6392	0	0.5567	1.1438	7.7902	0	12.6715	3.1623	26.5853	7.305	0.4325
NSB__NUH A2_1_HP_IM3_0_Core[1,4,14,1]_[50181,10878]_component_data.tif - resolution #1	6997d88f-302d-4c4b-8915-9259d1ae6824	PathCellObject		DAPI	Polygon	75.94	3.41	16	17.5603	0.652	6.4038	4.0254	0.782	2.189	148.8525	0.801	4.5194	0.7428	3.7767	10.8677	739.0065	1.9397	14.8013	6.5634	8.2379	1.7243	117.2552	1.1381	7.1532	0.5707	6.5825	0.8707	59.2054	0.5813	2.642	0	2.642	0.4561	31.0161	0.4504	1.9673	0	1.9673	0.8814	59.9351	0.969	4.91	0	4.91	11.8653	806.8401	2.2044	17.4605	7.6814	9.7792	44.25	25.0588	0.8855	8.7848	7.0677	0.5653	1.9951	0.7008	4.5194	0.0203	7.3412	3.6288	14.8013	1.9459	2.0741	2.4025	13.4701	0.3592	1.0436	1.3113	8.8457	0	0.3617	0.4274	1.9673	0	0.7204	0.8764	4.91	0	11.6197	2.7358	20.9486	6.2381	1.8752	0.6044	3.9426	0.0203	5.1611	2.5525	14.5131	1.9459	2.2903	2.9074	13.4701	0.3592	1.1505	1.5982	8.8457	0	0.3033	0.4037	1.708	0	0.6209	0.8024	3.5841	0	11.4678	3.0176	20.9486	6.2381	0.3691
NSB__NUH A2_1_HP_IM3_0_Core[1,4,14,1]_[50181,10878]_component_data.tif - resolution #1	ca7d1b11-70ab-45f4-9c62-0f03b840a9d5	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	135.2	2.061	11.5	16.2623	0.5464	6.3628	2.5159	0.9372	1.042	52.1	1.117	3.4829	0	3.4829	4.6446	232.2318	0.751	6.5192	3.0674	3.4518	7.8991	394.9575	2.3285	11.632	2.8927	8.7393	3.3305	166.5227	1.9256	6.5272	0	6.5272	0.2262	11.3102	0.8369	5.0576	0	5.0576	4.5644	228.2205	4.5055	16.9168	0	16.9168	25.189	1259.4492	5.3432	37.5335	15.6013	21.9322	38.5	26.3697	0.6958	10.1201	4.7388	0.9105	1.5216	1.023	3.4829	0	3.7976	0.9499	6.5192	1.6289	6.363	2.7267	11.632	1.1613	2.5654	2.0653	6.9357	0	0.5284	1.2534	6.0105	0	5.8104	5.5311	17.9983	0	24.4154	6.3213	38.5798	12.2408	1.7436	0.8983	3.1588	0	3.4055	0.7584	4.777	1.6289	5.6518	2.6102	11.0394	1.1613	2.2113	2.0397	6.9357	0	0.6684	1.3864	6.0105	0	6.3872	5.8764	17.9983	0	24.0573	6.7193	38.5798	12.2408	0.2882
NSB__NUH A2_1_HP_IM3_0_Core[1,4,14,1]_[50181,10878]_component_data.tif - resolution #1	828aa30f-701b-4d1f-94d1-3938d4ca5446	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	145.85	2.623	24.25	24.35	0.514	9.7026	4.3905	0.9255	1.8692	188.7942	0.5804	3.5121	0	3.5121	6.2138	627.5961	1.7798	12.0905	3.4983	8.5923	4.2723	431.505	2.3753	9.9683	0.7116	9.2567	2.1456	216.7099	1.3277	5.6337	0.0056	5.6281	0.0382	3.8605	0.1784	1.2418	0	1.2418	4.3053	434.8356	2.538	9.7277	0	9.7277	14.9888	1513.8657	3.2058	22.0776	9.3287	12.7489	60.75	33.663	0.6737	13.0937	6.5	0.8872	1.8192	0.5984	3.5121	0	4.2645	2.2132	12.0905	0.9365	4.0603	2.5965	10.0374	0.7116	2.2813	1.4571	7.4171	0.0056	0.0727	0.2141	1.3289	0	2.48	2.4796	9.7277	0	14.2734	3.1201	22.767	9.0409	1.7837	0.6104	3.0601	0.0046	2.8779	1.2257	5.699	0.9365	3.9095	2.7413	10.0374	0.8585	2.3778	1.5399	7.4171	0.1853	0.0973	0.2338	1.3289	0	1.1817	1.3784	4.6933	0	13.7645	2.9651	22.767	9.0409	0.4143
NSB__NUH A2_1_HP_IM3_0_Core[1,4,14,1]_[50181,10878]_component_data.tif - resolution #1	e0caacd3-487c-4fa3-9a5c-4a0af996724a	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	158.13	3.3	22	18.534	0.8048	6.4645	4.7214	0.683	1.7526	164.7412	0.4342	2.8074	0.8778	1.9297	6.3883	600.5043	1.193	9.2371	3.4897	5.7474	1.8357	172.5547	0.9631	5.5161	0.8174	4.6987	0.804	75.5715	0.6269	2.6811	0.0002	2.6809	1.0037	94.3438	0.8816	3.0049	0	3.0049	0.9238	86.8336	0.8233	3.7338	0	3.7338	12.8478	1207.6918	2.2792	18.3923	6.7044	11.688	53.75	27.5991	0.8867	9.5299	7.9512	0.5642	1.8395	0.5867	4.2795	0.0071	4.0672	2.3293	9.2371	0.9518	2.7832	2.4802	10.5196	0.8174	1.3281	1.2009	5.6631	0.0002	0.6928	0.8249	3.0049	0	0.7221	0.7726	4.2578	0	14.0558	4.3061	35.4908	6.7044	1.9044	0.6729	4.2795	0.0071	2.3355	1.1717	6.3837	0.9518	3.49	2.9847	10.5196	0.8518	1.7192	1.3688	5.6631	0.0731	0.4609	0.6979	2.551	0	0.5716	0.6986	4.2578	0	14.9571	5.1677	35.4908	7.943	0.4246
NSB__NUH A2_1_HP_IM3_0_Core[1,4,14,1]_[50181,10878]_component_data.tif - resolution #1	63ae614b-ec02-47f0-9b85-7e93b62b183a	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	167.51	6.331	40.75	35.5689	0.4048	11.9994	6.6443	0.8525	1.0085	171.4498	0.9115	3.7552	0	3.7552	5.0737	862.5317	1.1027	7.7855	2.5798	5.2057	3.1157	529.6763	3.1822	11.282	0	11.282	0.6402	108.8408	1.4139	6.3207	0	6.3207	5.7936	984.9062	5.5572	17.5093	0	17.5093	25.203	4284.5044	9.2073	42.0761	0.0108	42.0653	39.2091	6665.5547	7.164	54.4105	14.2604	40.1501	101.5	40.4471	0.7797	14.0278	10.2051	0.6899	0.8598	0.9583	3.9349	0	4.1419	1.3179	7.7855	1.6348	5.7827	4.6459	17.3701	0	2.3952	3.0562	14.0157	0	3.8811	5.3788	18.5171	0	15.2699	12.8685	42.0761	0	32.8292	11.3464	55.3171	12.2878	0.754	0.9785	3.9349	0	3.4792	1.0259	5.9053	1.6348	7.6797	4.5953	17.3701	0	3.6435	3.2905	14.0157	0	2.5207	4.8163	18.5171	0	8.2045	10.1529	41.4624	0	28.2911	11.5975	55.3171	12.2878	0.4278
NSB__NUH A2_1_HP_IM3_0_Core[1,4,14,1]_[50181,10878]_component_data.tif - resolution #1	fbb2b81c-b945-4913-ba14-c164f0b84d0c	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	192.36	1.746	11.75	12.5403	0.9389	4.6145	3.4539	0.5978	2.0731	103.6565	0.5863	3.4253	0.6012	2.8241	11.7232	586.1586	1.5405	14.4082	8.4482	5.9599	2.4149	120.7451	1.3442	8.2443	0.7967	7.4477	1.1175	55.8766	0.5086	2.1872	0.0018	2.1854	0.0008	0.0405	0.0057	0.0405	0	0.0405	5.0582	252.9085	1.5733	7.7452	0.8431	6.902	11.4409	572.0446	2.1361	16.5889	7.8802	8.7088	24.75	19.6399	0.8063	7.5135	4	0.8448	1.7362	0.8925	3.6776	0	8.5091	3.7847	14.4082	1.8048	3.8733	3.0805	11.6686	0.7967	1.8643	1.7438	7.6625	0.0018	0.1486	0.3973	1.7384	0	3.2545	2.4005	7.7452	0	13.6812	3.7844	26.4587	7.8802	1.4059	1.0156	3.6776	0	5.358	2.4216	14.2458	1.8048	5.303	3.605	11.6686	0.9322	2.5965	2.1734	7.6625	0.0018	0.2935	0.522	1.7384	0	1.4862	1.6298	5.3561	0	15.8776	3.7727	26.4587	10.1746	0.4517
NSB__NUH A2_1_HP_IM3_0_Core[1,4,14,1]_[50181,10878]_component_data.tif - resolution #1	5ad09700-0790-4120-b82f-9bc3b5dc9d53	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	242.86	2.807	30.5	24.5238	0.6373	9.4244	5.6138	0.8116	3.1945	412.0853	1.1613	5.6202	1.3702	4.2499	13.7879	1778.6389	2.1915	17.9632	7.6518	10.3114	2.1213	273.6463	0.6135	4.6415	1.0782	3.5633	0.7061	91.0883	0.6669	2.569	0	2.569	0.0065	0.8403	0.0438	0.3915	0	0.3915	15.3205	1976.3444	12.1482	35.9152	0.0009	35.9142	10.9855	1417.1294	1.819	15.6668	6.8527	8.8141	60.5	31.7536	0.754	12.6972	6.5	0.8516	3.0781	0.9845	5.6202	1.3702	10.0204	4.6389	17.9632	1.3766	2.3662	0.9002	8.5674	0.978	0.8951	0.8418	3.6501	0	0.0175	0.1122	1.3199	0	12.9273	10.7151	35.9152	0	11.8673	2.4466	21.0064	6.4062	2.9487	0.7235	4.3826	1.4555	5.8306	2.5851	13.8043	1.3766	2.6386	1.0762	8.5674	0.978	1.1052	0.9611	3.6501	0	0.0298	0.1559	1.3199	0	10.266	8.11	25.5198	0	12.848	2.6787	21.0064	6.4062	0.5237
NSB__NUH A2_1_HP_IM3_0_Core[1,4,14,1]_[50181,10878]_component_data.tif - resolution #1	b1fbf640-7982-46b4-ade7-0e88685f207d	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	254.92	2.116	10.75	15.1737	0.5867	6.1064	2.4834	0.9202	0.1318	6.1969	0.4098	2.3916	0	2.3916	3.9159	184.0462	0.6489	5.432	2.6254	2.8066	1.5935	74.8961	2.3681	9.6462	0	9.6462	0.1721	8.0874	0.7269	3.9472	0	3.9472	14.5205	682.4633	8.4053	28.1663	0	28.1663	32.7946	1541.3477	10.7669	59.5208	9.307	50.2138	49.1665	2310.8242	4.4673	55.2471	32.8101	22.437	36.5	24.2361	0.7809	9.5601	4.7754	0.8723	0.177	0.4883	2.3916	0	3.044	1.0337	5.432	0.0017	5.9205	4.8019	17.8678	0	1.7019	2.6772	11.8878	0	6.4256	8.5261	28.1663	0	17.8655	14.538	59.5208	0	42.8889	10.6113	56.6564	17.1253	0.1976	0.5207	2.3092	0	2.6461	0.9278	4.4368	0.0017	7.8949	4.3117	17.8678	0	2.3999	2.943	11.8878	0	2.7318	5.5099	23.0046	0	11.0532	10.3392	36.3328	0	40.0244	11.3595	56.6564	17.1253	0.2941
NSB__NUH A2_1_HP_IM3_0_Core[1,4,14,1]_[50181,10878]_component_data.tif - resolution #1	66481ced-1047-4ef7-9c3b-d4a218113ac0	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	263.49	2.004	10.5	13.3783	0.7372	4.8412	3.403	0.6404	1.1739	51.6524	1.0854	3.4344	0	3.4344	4.4991	197.9613	0.5673	6.1344	3.7365	2.3979	9.789	430.7179	1.2622	11.9911	7.0808	4.9103	4.4744	196.8752	1.1294	7.3279	2.2786	5.0493	0	0	0	0	0	0	3.5592	156.6032	4.1496	13.8991	0	13.8991	18.38	808.7195	3.9763	25.2069	10.3538	14.8531	29	21.8017	0.7667	8.3339	5	0.7726	1.5134	1.0682	3.9689	0	3.9195	0.7925	6.1344	2.1005	9.2784	1.6212	12.3136	5.2353	4.3937	1.5917	7.7915	0.844	0	0	0	0	2.5744	3.9824	14.7497	0	19.0149	4.2253	33.2912	10.3538	1.7152	1.0121	3.9689	0	3.5749	0.703	5.6206	2.1005	8.9747	1.7388	12.3136	5.2353	4.3457	1.8175	7.7915	0.844	0	0	0	0	1.9888	3.7873	14.7497	0	19.3924	4.3489	33.2912	11.6828	0.3459
