Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH B2_1_HP_IM3_0_Core[1,5,14,1]_[52071,10884.5]_component_data.tif - resolution #1	01a64a86-53ec-41d5-8d31-6b2edb557083	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	4.491	3.402	9.75	13.0986	0.7141	5.0932	2.2212	0.8922	2.2383	96.2453	1.9834	7.4552	0	7.4552	6.3275	272.083	1.1484	9.4768	4.6612	4.8156	4.9965	214.8486	1.4078	7.5077	2.1295	5.3782	11.9461	513.6811	2.8651	18.4972	6.9246	11.5725	0	0	0	0	0	0	0	0	0	0	0	0	15.9352	685.2151	3.6919	23.6769	7.9597	15.7171	34.5	22.0659	0.8904	8.3068	5.5545	0.7174	1.6893	1.5192	7.4552	0	4.6603	1.5629	9.4768	1.7222	4.4751	1.596	8.8372	2.0145	10.0013	3.1234	18.4972	4.442	0	0	0	0	0	0	0	0	13.6595	3.6567	23.6769	7.9597	1.4509	1.2022	5.0093	0	3.9361	1.0953	6.0603	1.7222	4.2487	1.6262	8.8372	2.0145	9.1566	2.8527	17.1327	4.442	0	0	0	0	0	0	0	0	12.6711	3.184	22.0438	8.56	0.2733
NSB__NUH B2_1_HP_IM3_0_Core[1,5,14,1]_[52071,10884.5]_component_data.tif - resolution #1	a3badec4-437d-45da-a497-7838cb29e754	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	29.38	2.305	17.5	20.3916	0.5289	7.0161	4.0655	0.8456	10.4284	792.5569	3.6928	16.9765	3.1087	13.8678	5.7227	434.9241	0.7677	8.0868	4.2723	3.8145	4.1018	311.7341	0.9526	6.4246	2.1093	4.3152	7.509	570.687	2.1796	12.7772	2.5329	10.2444	0.0373	2.8337	0.2058	1.4179	0	1.4179	0.0041	0.3095	0.0355	0.3091	0	0.3091	11.9816	910.6031	2.0051	18.0238	6.7592	11.2647	43.5	27.1253	0.7429	10.7203	5.6793	0.8521	7.0363	5.4424	18.2305	0	4.3087	1.5457	8.0868	1.3529	3.3972	1.5237	7.1637	0.001	8.319	2.6564	14.278	2.3366	0.0583	0.2699	1.8378	0	0.0258	0.1858	2.0617	0	12.9189	2.4028	19.1474	6.7592	4.5088	5.1645	18.2305	0	3.2551	1.0601	5.365	1.3529	2.8723	1.6563	7.1637	0.001	8.9225	2.8244	14.278	2.3366	0.074	0.3092	1.8378	0	0.042	0.2428	2.0617	0	13.6172	2.4452	19.1474	7.5179	0.4124
NSB__NUH B2_1_HP_IM3_0_Core[1,5,14,1]_[52071,10884.5]_component_data.tif - resolution #1	ff9259f1-acf1-4406-b697-3ddd8dbecefa	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	63.87	2.583	19.75	16.6732	0.8928	6.2479	4.3759	0.6757	4.5183	365.9846	1.8735	8.725	0	8.725	8.8785	719.1617	1.5668	12.4104	6.2142	6.1961	6.5196	528.0878	2.2803	11.9483	3.14	8.8083	6.4331	521.0818	1.7538	10.6904	3.257	7.4334	0	0	0	0	0	0	17.489	1416.6095	9.0657	29.8776	0	29.8776	12.6806	1027.129	4.9447	26.6243	5.968	20.6563	42	24.9889	0.8452	9.032	6	0.7117	2.5307	2.4391	8.725	0	5.9782	3.2357	12.4104	0.2493	6.8474	2.3484	12.8151	1.9684	8.1337	2.2954	13.75	3.257	0	0	0	0	8.6867	10.6654	29.8776	0	14.7458	4.5906	26.6243	5.968	0.7217	1.1349	3.3766	0	3.3386	1.7565	8.7519	0.2493	7.1457	2.3824	12.8151	1.9684	9.6815	1.4958	13.75	6.144	0	0	0	0	0.6755	2.741	15.5491	0	16.6254	3.2781	24.9905	9.1704	0.4602
NSB__NUH B2_1_HP_IM3_0_Core[1,5,14,1]_[52071,10884.5]_component_data.tif - resolution #1	5cfb54ba-e330-4165-9864-d113456f6926	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	88.78	3.2	37	26.5107	0.6616	8.89	5.9035	0.7769	4.3324	654.1862	1.9984	8.7283	0	8.7283	6.3572	959.9309	0.9124	9.435	4.4995	4.9355	5.0714	765.778	1.9635	10.4943	2.259	8.2354	5.4584	824.2176	2.7303	12.0514	0	12.0514	0	0	0	0	0	0	12.954	1956.0609	7.1803	29.9527	0	29.9527	14.3193	2162.2136	5.0805	31.9653	6.297	25.6683	71.25	32.6873	0.838	11.862	6.9822	0.8036	3.0242	2.511	8.7283	0	4.9929	1.775	9.435	1.3339	5.6356	2.2434	11.7481	1.6057	6.9891	3.1563	14.0224	0	0	0	0	0	8.1769	8.3244	29.9527	0	15.3588	4.5214	31.9653	6.297	1.5824	2.2151	8.6767	0	3.4893	1.1773	6.1012	1.3339	6.2576	2.3717	11.7481	1.6057	8.6763	2.7078	14.0224	2.3189	0	0	0	0	2.9115	6.0086	18.9503	0	16.5046	3.4856	26.2178	6.8827	0.509
NSB__NUH B2_1_HP_IM3_0_Core[1,5,14,1]_[52071,10884.5]_component_data.tif - resolution #1	dbd7fe74-bdb1-4ea9-b675-b980ee4c2a68	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	140.62	1.869	12	15.0391	0.6667	6.1957	2.9053	0.842	4.948	277.0906	2.233	8.5209	0	8.5209	6.1097	342.1411	0.9099	7.9422	4.2313	3.7109	5.8527	327.7521	1.2113	10.1872	4.3479	5.8393	9.1278	511.1569	1.8413	13.9282	6.0863	7.8419	0	0	0	0	0	0	0	0	0	0	0	0	15.2427	853.5889	2.702	21.3101	11.3172	9.9929	28	21.8551	0.7366	8.603	4.187	0.8464	3.6967	2.2756	8.5209	0	5.2013	1.3291	7.9422	2.1136	6.3822	1.9543	11.6773	3.0057	9.6795	2.1965	14.8703	6.0065	0	0	0	0	0	0	0	0	15.2058	3.0004	21.389	9.634	2.5288	1.6037	5.8051	0	4.3535	1.0759	6.9022	2.1136	6.8764	2.3584	11.6773	3.0057	10.1945	2.3843	14.8703	6.0065	0	0	0	0	0	0	0	0	15.1714	3.277	21.389	9.634	0.4252
NSB__NUH B2_1_HP_IM3_0_Core[1,5,14,1]_[52071,10884.5]_component_data.tif - resolution #1	1e087739-d3d7-4476-a715-c1f71f251ed6	PathCellObject		DAPI	Polygon	152.85	1.863	13.5	15.4075	0.7146	5.76	3.383	0.7752	1.7162	101.2583	1.1122	5.8942	0.7052	5.189	8.5133	502.2841	1.0398	10.8226	6.3812	4.4415	4.615	272.2861	2.565	10.9635	1.3323	9.6312	5.1032	301.0881	2.3187	11.6748	2.2716	9.4032	0.0073	0.4289	0.0349	0.2327	0	0.2327	0.6821	40.245	2.0538	14.1425	0	14.1425	14.2246	839.253	3.1324	22.6212	9.2016	13.4197	29	21.8915	0.7604	9.0218	4.4001	0.8797	2.2695	1.5249	7.48	0.7052	7.0137	1.9451	10.8226	2.5787	5.1564	2.8464	11.1446	1.3001	5.9634	2.8297	13.3689	2.0326	0.034	0.1443	1.0069	0	0.794	2.4232	14.1425	0	14.2668	3.3339	22.6212	8.1034	2.8047	1.6804	7.48	0.9027	5.5632	1.452	8.526	2.5787	5.6799	3.0236	11.1446	1.3001	6.7954	3.0418	13.3689	2.0326	0.0598	0.1969	1.0069	0	0.9021	2.7467	13.6744	0	14.3077	3.5434	21.7517	8.1034	0.4525
NSB__NUH B2_1_HP_IM3_0_Core[1,5,14,1]_[52071,10884.5]_component_data.tif - resolution #1	5821b9d9-df2f-4930-aa4f-e8cab352f569	PathCellObject		DAPI	Polygon	215.07	3.003	20	18.9111	0.7028	7.3497	3.9195	0.8701	2.2702	190.6947	0.8376	5.2298	1.1339	4.0959	8.1631	685.7043	1.0906	10.3459	4.6356	5.7103	2.7997	235.172	1.2953	5.8592	1.0611	4.7981	4.2909	360.4317	1.8018	8.8904	2.2158	6.6746	0.1728	14.512	0.2892	1.0715	0	1.0715	0.366	30.7441	0.4922	1.7388	0	1.7388	14.6451	1230.1877	2.0177	19.3982	8.5077	10.8905	50	26.748	0.8782	10.4024	6.4981	0.7771	2.4199	1.278	7.958	0.6801	6.0977	2.4618	10.3459	1.0106	3.1827	2.0918	9.3677	0.1735	4.9631	1.946	10.3732	2.1328	0.178	0.3915	2.5218	0	0.2609	0.4636	2.0222	0	15.2697	2.1786	20.9909	8.5077	2.5255	1.5084	7.958	0.6801	4.6398	2.0875	8.8066	1.0106	3.4531	2.4763	9.3677	0.1735	5.4376	1.9107	10.3732	2.1328	0.1817	0.4511	2.5218	0	0.1867	0.429	2.0222	0	15.7107	2.1881	20.9909	10.5724	0.3987
NSB__NUH B2_1_HP_IM3_0_Core[1,5,14,1]_[52071,10884.5]_component_data.tif - resolution #1	9e4aa9b8-7f74-428f-9793-591b101408af	PathCellObject		DAPI	Polygon	237.76	3.19	23.5	20.082	0.7323	8.4332	3.9158	0.9032	1.4241	138.1387	0.6528	4.2327	0.6369	3.5959	9.6709	938.0815	1.9523	12.9225	4.7943	8.1282	1.1202	108.6609	0.3264	1.8257	0.2726	1.5532	3.1474	305.2992	0.8462	5.6293	1.692	3.9373	0.2009	19.491	0.3315	1.6163	0	1.6163	0.7263	70.4513	0.925	3.1929	0	3.1929	14.0817	1365.9218	1.5662	18.88	9.9341	8.9459	54.25	28.5327	0.8374	11.3814	6.5734	0.8186	1.5929	0.7816	5.779	0.5534	6.1322	3.6264	12.9225	1.1922	1.2729	0.7255	5.1611	0.1164	4.0139	2.0942	11.0973	1.411	0.2366	0.3719	1.6372	0	0.5757	0.9162	5.315	0	14.8666	2.6332	24.5691	9.9341	1.7271	0.8494	5.779	0.5534	3.3187	1.6275	9.5794	1.1922	1.3943	0.9111	5.1611	0.1164	4.7029	2.5005	11.0973	1.411	0.265	0.4002	1.6372	0	0.4559	0.895	5.315	0	15.4907	3.108	24.5691	10.3205	0.4249
NSB__NUH B2_1_HP_IM3_0_Core[1,5,14,1]_[52071,10884.5]_component_data.tif - resolution #1	40723ef1-3208-47a7-ba54-41e6db6c1526	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	246.2	3.666	12.5	19.2332	0.4246	6.4198	3.46	0.8854	1.8143	103.415	0.7622	3.891	0.869	3.022	7.0751	403.2812	1.0373	9.1132	4.4774	4.6359	1.7719	101.0009	0.39	2.5784	1.0932	1.4852	2.2991	131.0474	0.7499	4.1255	1.0355	3.09	0.4936	28.1337	0.4962	1.8256	0	1.8256	1.0801	61.5635	1.0343	4.2083	0	4.2083	16.3544	932.2017	1.9422	24.0315	12.8754	11.1561	43.25	24.772	0.8857	8.6098	6.6805	0.6017	1.6866	0.608	3.891	0.7982	5.2789	1.9799	9.1132	1.1361	1.9047	0.6191	4.0279	0.755	2.9966	1.611	9.0604	0.9925	0.4184	0.5222	2.0385	0	1.519	1.7403	8.267	0	16.7894	2.4409	24.0648	11.9217	1.6259	0.5116	3.3132	0.7982	4.4257	1.7354	7.9087	1.1361	1.9678	0.6949	4.0279	0.755	3.3279	1.7973	9.0604	0.9925	0.3827	0.5324	2.0385	0	1.7276	1.9595	8.267	0	16.9961	2.6274	24.0648	11.9217	0.3081
NSB__NUH B2_1_HP_IM3_0_Core[1,5,14,1]_[52071,10884.5]_component_data.tif - resolution #1	d5ed81c4-cdf1-40e1-8fb6-0a5b1dc12dda	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	261.66	1.817	14.25	16.6456	0.6463	7.2793	2.7421	0.9297	4.3337	255.6866	2.7912	10.1839	0	10.1839	9.3746	553.1019	1.3062	11.9223	6.2439	5.6784	8.2272	485.4032	2.2022	12.2981	4.4956	7.8026	10.2945	607.3746	2.4188	15.1102	5.5058	9.6044	0	0	0	0	0	0	12.1976	719.6565	10.3433	28.6859	0	28.6859	18.7913	1108.6868	5.0956	27.8884	11.1443	16.7441	30	24.0843	0.6499	9.4804	4.5	0.8889	4.3807	3.595	13.779	0	7.5757	2.094	11.9223	3.4924	7.7815	2.2615	12.2981	3.6596	9.6381	2.828	15.1102	3.7402	0	0	0	0	10.6804	10.027	30.0748	0	18.8312	5.4527	29.8447	9.9346	4.4215	4.1901	13.779	0	6.0148	1.2027	9.3907	3.4924	7.3948	2.2567	11.8979	3.6596	9.0687	3.0442	14.4791	3.7402	0	0	0	0	9.364	9.6269	30.0748	0	18.8659	5.7822	29.8447	9.9346	0.434
