Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH A2_1_HP_IM3_0_Core[1,2,2,1]_[28349,7910]_component_data.tif - resolution #1	5a2b2d5f-89aa-496e-919e-43514f4d7a47	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	4.981	2.838	16.75	19.3548	0.5619	6.2134	4.7722	0.6876	5.719	394.6136	2.0546	11.7933	0.0399	11.7534	6.6056	455.789	0.8161	8.8521	5.0659	3.7862	4.3756	301.9158	1.4029	8.3622	2.2328	6.1293	7.2558	500.6472	2.0125	12.7653	4.2585	8.5067	0	0	0	0	0	0	0	0	0	0	0	0	9.1443	630.9564	1.6479	14.8338	6.581	8.2529	42.5	25.4693	0.8233	9.6822	6.0983	0.798	5.6285	2.8641	12.9544	0	5.1038	1.6452	8.8521	1.7962	4.0017	1.4095	8.3622	1.2275	6.8614	2.1931	12.7653	2.5451	0	0	0	0	0.0004	0.0059	0.0773	0	9.1763	2.1185	14.8657	5.8663	5.5685	3.3019	12.9544	0	4.1073	1.2516	6.499	1.7962	3.7537	1.3648	8.2619	1.2275	6.5997	2.2769	11.3366	2.5451	0	0	0	0	0.0007	0.0076	0.0773	0	9.1975	2.3876	14.8657	5.8663	0.392
NSB__NUH A2_1_HP_IM3_0_Core[1,2,2,1]_[28349,7910]_component_data.tif - resolution #1	8c2b20b7-3104-4618-8bf0-f12c9805d0a8	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	26.69	6.44	57.5	35.8672	0.5617	11.7734	8.34	0.7247	4.5875	1068.8989	1.3363	8.8386	0.2002	8.6384	6.113	1424.3295	0.9366	8.1201	3.7437	4.3764	4.6145	1075.1683	1.4487	10.5455	2.0112	8.5343	5.3937	1256.7434	1.761	10.6036	0.2476	10.3561	0	0	0	0	0	0	7.8879	1837.8837	8.3193	27.0077	0	27.0077	11.2236	2615.1067	3.7894	23.3508	2.9697	20.3812	110	40.2895	0.8516	14.032	11.4059	0.5263	4.0194	1.6199	8.8386	0	5.1012	1.5241	8.1201	0.1918	5.2571	1.6524	11.0762	2.0112	6.7222	2.3059	14.5543	0.2476	0	0	0	0	4.5804	7.269	27.0077	0	11.8224	3.734	23.3508	2.9697	3.3891	1.6758	7.8266	0	3.9787	1.2375	6.3131	0.1918	5.97	1.5727	11.0762	2.6355	8.1961	1.9109	14.5543	2.3012	0	0	0	0	0.9105	3.0311	14.9978	0	12.4868	3.5643	22.37	6.5064	0.5163
NSB__NUH A2_1_HP_IM3_0_Core[1,2,2,1]_[28349,7910]_component_data.tif - resolution #1	67c18cf1-ff8d-43f9-9e5d-449238a3654e	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	33.58	2.318	15.75	15.2396	0.8522	6.0222	3.675	0.7678	5.7292	383.8556	1.8409	9.5369	2.7573	6.7796	5.6874	381.058	0.7284	7.6726	3.7986	3.874	3.913	262.172	1.0444	6.5978	2.1947	4.4032	6.0854	407.7224	1.3025	9.4708	3.7535	5.7173	0	0	0	0	0	0	0	0	0	0	0	0	9.2163	617.4932	0.7166	11.0249	7.8913	3.1336	37.5	24.078	0.8128	9.3661	5.5	0.805	4.0811	2.1569	9.5369	0	4.3858	1.5614	7.6726	1.5584	4.4535	1.2594	7.7781	2.0861	8.2398	2.4925	15.3598	3.7535	0	0	0	0	0	0	0	0	10.1336	1.2469	13.9398	7.8913	2.782	1.3513	5.7547	0	3.3598	1.2445	5.7737	1.5584	4.8795	1.256	7.7781	2.0861	9.9379	1.7929	15.3598	6.0482	0	0	0	0	0	0	0	0	10.8567	1.0914	13.9398	8.5425	0.4119
NSB__NUH A2_1_HP_IM3_0_Core[1,2,2,1]_[28349,7910]_component_data.tif - resolution #1	f90d4fd5-0814-4061-b6f6-ec3deb8f5a42	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	71.26	2.353	10	12.5594	0.7967	5.1385	2.4104	0.8609	2.9596	127.2608	0.8596	5.1626	1.7051	3.4575	7.2615	312.2465	1.5076	9.5821	3.765	5.8171	0.6991	30.0624	0.2686	1.3628	0.0071	1.3558	1.9564	84.126	0.4068	3.1206	1.3222	1.7984	0.2446	10.5193	0.4099	1.4587	0	1.4587	0.9304	40.0077	1.0047	3.7527	0	3.7527	10.0136	430.583	2.5531	14.0949	4.222	9.8729	28	20.2885	0.8548	7.5081	5.3225	0.7044	2.554	1.2379	6.5659	0.8893	4.3196	2.5824	9.5821	1.3545	0.663	0.2682	1.566	0.0071	1.7227	0.5072	3.1206	0.2983	0.1373	0.3165	1.4587	0	0.5139	0.7982	3.7527	0	9.4326	2.1488	14.4775	4.222	2.3119	1.3654	6.5659	0.8893	2.5626	0.9955	5.3472	1.3545	0.6414	0.2674	1.566	0.0879	1.5832	0.5122	3.0126	0.2983	0.0732	0.2243	1.0935	0	0.2652	0.508	2.3413	0	9.0856	1.7976	14.4775	5.1958	0.3261
NSB__NUH A2_1_HP_IM3_0_Core[1,2,2,1]_[28349,7910]_component_data.tif - resolution #1	aa8abd3e-0ef8-4400-8c3d-1af95a7c77f9	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	83.82	3.054	14.5	15.5385	0.7547	5.7711	3.5279	0.8396	2.6581	167.4582	1.2421	5.8734	0.0049	5.8685	4.7266	297.773	0.5077	5.5783	3.6179	1.9604	3.5647	224.5766	0.8241	5.231	1.6497	3.5813	7.3721	464.444	1.0054	10.4413	5.8693	4.572	0	0	0	0	0	0	0	0	0	0	0	0	10.7905	679.8041	1.5167	14.0546	7.2756	6.7791	39.25	23.5294	0.8909	8.1177	6.9058	0.4027	2.7806	1.1471	5.8734	0	3.7011	1.101	5.5783	1.5079	3.2788	1.0292	5.5541	0.9091	8.0934	1.3847	11.8631	5.8693	0	0	0	0	0	0	0	0	11.2189	1.5306	14.4172	7.2756	2.8601	1.0802	5.6461	0	3.0351	0.8384	5.0238	1.5079	3.0931	1.1078	5.5541	0.9091	8.5619	1.3998	11.8631	6.5928	0	0	0	0	0	0	0	0	11.4971	1.4818	14.4172	8.8542	0.3719
NSB__NUH A2_1_HP_IM3_0_Core[1,2,2,1]_[28349,7910]_component_data.tif - resolution #1	8f99a1a0-915e-4c08-a7f0-25ca87c0c691	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	104.16	2.562	25	20.1114	0.7767	7.8824	4.3333	0.8562	3.3027	343.4787	0.7321	5.418	0.7211	4.6968	4.5627	474.5242	0.6251	6.3806	3.4493	2.9313	5.236	544.5451	0.8614	7.1719	3.4789	3.693	6.9975	727.7376	0.918	9.201	5.1777	4.0233	0	0	0	0	0	0	0	0	0	0	0	0	7.6349	794.0308	1.1674	10.9257	5.7354	5.1903	53.75	28.937	0.8066	11.0365	6	0.8423	2.5647	1.2223	5.418	0	3.5957	1.1664	6.3806	0.0063	5.8689	1.2288	8.8219	3.4789	7.6066	1.1198	10.2449	5.1777	0	0	0	0	0	0	0	0	8.001	1.3968	14.2768	5.7354	1.8854	1.1904	3.8458	0	2.7057	0.7726	4.3946	0.0063	6.4513	1.2311	8.8219	3.8547	8.1672	0.991	10.2449	5.418	0	0	0	0	0	0	0	0	8.338	1.5068	14.2768	6.0482	0.4667
NSB__NUH A2_1_HP_IM3_0_Core[1,2,2,1]_[28349,7910]_component_data.tif - resolution #1	668902fa-bdef-4256-b415-b09410381748	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	132.95	2.617	16.25	17.2319	0.6877	5.7482	4.4412	0.4811	5.2697	358.3386	0.7988	6.9256	3.2492	3.6764	6.1825	420.4134	0.5828	7.3569	4.8066	2.5503	5.5118	374.8014	1.0611	7.9042	3.5981	4.3061	7.6165	517.92	1.9255	12.4496	4.536	7.9136	0	0	0	0	0	0	0.9255	62.9366	2.6232	10.8745	0	10.8745	11.6522	792.3514	4.2064	23.3702	6.5033	16.8669	40.25	25.2854	0.7911	9.1252	6.5	0.6546	4.2577	1.5331	6.9256	0	5.1795	1.1146	7.3569	2.3512	5.4799	1.2239	8.2379	2.8934	8.0928	2.1179	12.4496	4.536	0	0	0	0	1.1568	2.9416	12.0694	0	11.7985	4.594	23.3702	6.1684	3.5409	1.5266	6.6273	0	4.469	0.8135	6.3167	2.3512	5.4573	1.3322	8.2379	2.8934	8.4302	2.1918	12.2823	5.0308	0	0	0	0	1.3206	3.1509	12.0694	0	11.9021	4.8689	22.7286	6.1684	0.401
NSB__NUH A2_1_HP_IM3_0_Core[1,2,2,1]_[28349,7910]_component_data.tif - resolution #1	69f8021b-88e5-42b1-9eac-83dd94ce1761	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	190.21	2.639	17.5	15.672	0.8954	5.9169	4.0883	0.7194	4.6946	333.3191	0.8482	6.6606	3.0178	3.6428	6.82	484.2177	0.9545	9.1999	5.2024	3.9975	5.7209	406.1839	0.7077	7.1959	4.1609	3.035	5.7523	408.4143	1.0556	8.8509	3.1948	5.656	0	0	0	0	0	0	2.1857	155.1872	3.2824	10.2619	0	10.2619	12.5911	893.9679	1.9276	18.6501	9.6644	8.9857	39	23.5396	0.8845	8.8388	5.9306	0.694	4.2761	1.0752	6.6606	2.4178	5.5033	1.6513	9.1999	2.4298	5.7726	0.8258	7.9342	4.1328	6.5997	1.4936	9.6421	3.1948	0	0	0	0	1.0148	2.4521	10.2619	0	11.2624	2.2255	18.6501	6.0882	3.9345	1.1235	6.5273	2.4178	4.4287	1.2794	7.8747	2.4298	5.8148	0.9129	7.9342	4.1328	7.2913	1.4453	9.6421	3.5217	0	0	0	0	0.0593	0.3889	2.7245	0	10.1781	1.8359	17.3454	6.0882	0.4165
NSB__NUH A2_1_HP_IM3_0_Core[1,2,2,1]_[28349,7910]_component_data.tif - resolution #1	a175c7fe-f153-4e7b-a9ac-b16d29629922	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	207.45	2.761	23.25	20.6979	0.682	8.165	4.5645	0.8292	3.707	363.2842	0.8924	6.4783	2.1007	4.3776	5.6366	552.3846	0.6622	7.1005	4.576	2.5244	4.7116	461.732	1.0008	7.4236	2.7213	4.7023	6.1274	600.4807	1.174	9.893	3.7827	6.1103	0	0	0	0	0	0	0	0	0	0	0	0	8.1081	794.5892	1.1673	10.577	6.171	4.406	50.25	27.7571	0.8196	10.4243	6.4986	0.7714	3.1709	1.1127	7.0622	0	4.6754	1.1856	7.1005	2.0959	5.3038	1.422	9.627	2.7213	7.1965	1.6007	11.4134	3.7827	0	0	0	0	0	0	0	0	8.4248	1.0974	11.9812	6.171	2.6705	1.0669	7.0622	0	3.7783	0.7989	5.5241	2.0959	5.8567	1.5343	9.627	3.7552	8.1944	1.2684	11.4134	5.8027	0	0	0	0	0	0	0	0	8.7205	0.941	11.9812	6.4462	0.4665
NSB__NUH A2_1_HP_IM3_0_Core[1,2,2,1]_[28349,7910]_component_data.tif - resolution #1	72596546-2fed-4f6f-8bf4-04c7a1bb73e1	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	215.78	2.462	12.25	14.8514	0.6979	5.08	3.5432	0.8126	3.0241	154.2309	0.6347	4.769	2.0878	2.6812	4.6887	239.1247	0.6938	6.6939	3.5498	3.1441	4.5569	232.3999	0.9884	7.8005	3.264	4.5365	5.7937	295.4772	0.7798	8.1066	4.6163	3.4903	0	0	0	0	0	0	0	0	0	0	0	0	8.5012	433.5618	1.2036	11.0031	6.3568	4.6464	30.25	21.142	0.8504	8.2318	5	0.77	3.1926	0.754	5.7977	1.4479	3.8735	0.9395	6.6939	2.1039	4.9706	1.0085	8.2606	3.264	6.5299	1.0943	9.8642	4.6163	0	0	0	0	0	0	0	0	8.8506	1.2604	11.8834	6.3568	3.3104	0.8107	5.7977	1.4479	3.3039	0.6116	4.4193	2.1039	5.2597	0.9235	8.2606	3.4442	7.0443	0.9854	9.8642	5.0622	0	0	0	0	0	0	0	0	9.0946	1.2494	11.8834	6.4786	0.3836
